year,city,country,avg_temp
1758,New Orleans,United States,20.87
1759,New Orleans,United States,19.73
1760,New Orleans,United States,9.24
1761,New Orleans,United States,
1762,New Orleans,United States,
1763,New Orleans,United States,
1764,New Orleans,United States,
1765,New Orleans,United States,
1766,New Orleans,United States,
1767,New Orleans,United States,
1768,New Orleans,United States,19.47
1769,New Orleans,United States,11.57
1770,New Orleans,United States,19.82
1771,New Orleans,United States,20.40
1772,New Orleans,United States,
1773,New Orleans,United States,21.08
1774,New Orleans,United States,
1775,New Orleans,United States,21.89
1776,New Orleans,United States,18.58
1777,New Orleans,United States,
1778,New Orleans,United States,
1779,New Orleans,United States,
1780,New Orleans,United States,
1781,New Orleans,United States,
1782,New Orleans,United States,
1783,New Orleans,United States,
1784,New Orleans,United States,
1785,New Orleans,United States,
1786,New Orleans,United States,
1787,New Orleans,United States,
1788,New Orleans,United States,
1789,New Orleans,United States,
1790,New Orleans,United States,
1791,New Orleans,United States,
1792,New Orleans,United States,
1793,New Orleans,United States,
1794,New Orleans,United States,
1795,New Orleans,United States,
1796,New Orleans,United States,
1797,New Orleans,United States,
1798,New Orleans,United States,20.65
1799,New Orleans,United States,20.45
1800,New Orleans,United States,20.23
1801,New Orleans,United States,20.54
1802,New Orleans,United States,20.68
1803,New Orleans,United States,20.51
1804,New Orleans,United States,20.64
1805,New Orleans,United States,
1806,New Orleans,United States,
1807,New Orleans,United States,
1808,New Orleans,United States,
1809,New Orleans,United States,
1810,New Orleans,United States,
1811,New Orleans,United States,
1812,New Orleans,United States,
1813,New Orleans,United States,
1814,New Orleans,United States,
1815,New Orleans,United States,
1816,New Orleans,United States,
1817,New Orleans,United States,
1818,New Orleans,United States,
1819,New Orleans,United States,
1820,New Orleans,United States,19.27
1821,New Orleans,United States,19.55
1822,New Orleans,United States,20.22
1823,New Orleans,United States,19.71
1824,New Orleans,United States,20.35
1825,New Orleans,United States,20.55
1826,New Orleans,United States,20.40
1827,New Orleans,United States,21.04
1828,New Orleans,United States,20.95
1829,New Orleans,United States,20.11
1830,New Orleans,United States,21.00
1831,New Orleans,United States,19.47
1832,New Orleans,United States,20.17
1833,New Orleans,United States,20.45
1834,New Orleans,United States,20.84
1835,New Orleans,United States,18.82
1836,New Orleans,United States,19.22
1837,New Orleans,United States,20.01
1838,New Orleans,United States,19.09
1839,New Orleans,United States,19.82
1840,New Orleans,United States,20.25
1841,New Orleans,United States,20.09
1842,New Orleans,United States,20.31
1843,New Orleans,United States,19.95
1844,New Orleans,United States,20.25
1845,New Orleans,United States,19.65
1846,New Orleans,United States,20.25
1847,New Orleans,United States,19.67
1848,New Orleans,United States,20.00
1849,New Orleans,United States,20.82
1850,New Orleans,United States,20.56
1851,New Orleans,United States,19.76
1852,New Orleans,United States,19.68
1853,New Orleans,United States,19.32
1854,New Orleans,United States,20.10
1855,New Orleans,United States,19.91
1856,New Orleans,United States,19.12
1857,New Orleans,United States,19.20
1858,New Orleans,United States,20.09
1859,New Orleans,United States,20.17
1860,New Orleans,United States,20.42
1861,New Orleans,United States,20.37
